epoch,elapsed_seconds,learning_rate,train_loss,train_accuracy,train_mcc,val_loss,val_accuracy,val_mcc
1,3.42,0.0001,0.7206246194086576,0.5293132328308208,0.04085535079417474,0.7857878729701042,0.546875,0.09596142291762777
2,3.47,0.0001,0.7187735720684654,0.525963149078727,0.025735713098340825,0.7358459308743477,0.5234375,-0.022754170022042466
3,3.26,0.0001,0.6772668722428774,0.5745393634840871,0.11695692067600273,0.7207125946879387,0.53125,0.028271708219228645
4,3.26,0.0001,0.6675487066570082,0.609715242881072,0.19779748303721495,0.725356325507164,0.453125,-0.07595024842437294
5,3.31,0.0001,0.6591697272501493,0.6231155778894473,0.22891054249714368,0.785649299621582,0.4296875,-0.11878627434019541
6,3.49,0.0001,0.6576691160076543,0.5963149078726968,0.17889895960874003,0.7363346815109253,0.5625,0.09917728370748212
7,3.4,0.0001,0.6416289704410654,0.6231155778894473,0.2291495129978227,0.7522687762975693,0.5703125,0.11729125118250854
8,3.42,0.0001,0.6330167015916423,0.6314907872696818,0.24824781937918722,0.7404374182224274,0.4921875,-0.036420535640756535
9,3.57,0.0001,0.6085792521112844,0.678391959798995,0.3450182719873327,0.7447547614574432,0.546875,0.07978287482430835
10,3.39,0.0001,0.608857525806678,0.6733668341708543,0.33414695034203906,0.7496354281902313,0.5,-0.006140997297961189
11,3.37,0.0001,0.5949931278040534,0.6884422110552764,0.36566469586862416,0.7472491562366486,0.5078125,0.01323047376991803
12,3.36,0.0001,0.582590705470035,0.7001675041876047,0.38985689652754746,0.7585973888635635,0.5546875,0.08664668679758257
